customerno,recency,frequency,monetary,cluster
12355.0,215,1,2930.62,1
12356.0,23,4,20298.05,3
12357.0,34,1,33893.72,3
12358.0,2,3,23772.82,2
12359.0,58,4,24503.010000000002,3
12360.0,53,3,13959.64,3
12361.0,288,1,922.62,1
12362.0,4,10,24367.78,2
12363.0,110,2,4747.08,3
12364.0,8,5,15842.75,2
12365.0,292,1,2101.83,1
12367.0,5,2,1268.6,0
12370.0,52,4,27599.42,3
12371.0,60,1,7411.53,3
12372.0,72,3,9302.48,3
12373.0,255,2,7980.55,3
12374.0,26,1,4112.9,0
12375.0,11,2,1385.9,0
12377.0,316,2,11241.34,3
12378.0,130,1,29410.600000000002,3
12379.0,82,2,4315.0599999999995,3
12380.0,22,4,12159.37,3
12381.0,5,3,9136.37,0
12383.0,185,5,17227.83,3
12384.0,29,2,1575.27,0
12386.0,338,2,4040.3,1
12387.0,208,1,5326.62,1
12388.0,16,6,16632.03,2
12390.0,80,1,4104.7,1
12391.0,22,1,3535.27,0
12393.0,73,6,8314.75,3
12394.0,64,2,9390.52,3
12395.0,20,12,24180.37,2
12396.0,263,1,6765.1,1
12397.0,36,3,15955.51,3
12398.0,46,1,15525.12,3
12399.0,120,4,12422.4,3
12401.0,304,1,124.47,1
12402.0,324,1,837.5,1
12403.0,50,1,1364.64,1
12405.0,149,1,10126.52,3
12406.0,23,2,21277.63,3
12407.0,50,5,15924.92,3
12408.0,33,5,16083.97,3
12409.0,79,3,66730.26,3
12410.0,309,2,2668.3,1
12411.0,262,1,55.24,1
12412.0,75,3,9420.63,3
12413.0,67,3,3307.89,3
12414.0,67,4,18177.6,3
12415.0,25,20,900545.54,2
12417.0,4,9,17859.88,2
12418.0,113,1,4856.91,1
12420.0,64,1,4151.1,3
12421.0,16,4,5091.65,0
12422.0,96,4,14936.45,3
12423.0,1,9,14766.41,2
12424.0,163,2,9389.81,3
12425.0,79,1,5638.98,3
12426.0,195,1,3126.61,1
12427.0,22,3,6109.77,0
12428.0,26,10,41864.41,2
12429.0,10,4,16106.1,2
12430.0,44,1,1410.68,1
12431.0,36,15,35118.12,2
12432.0,36,5,22880.21,3
12433.0,1,7,115454.49,2
12434.0,85,2,4864.51,3
12435.0,80,2,27757.97,3
12436.0,100,1,2581.38,1
12437.0,2,18,33137.62,2
12438.0,15,2,10591.5,0
12441.0,367,1,1389.3,1
12442.0,4,1,1297.84,0
12444.0,22,6,15868.42,2
12445.0,23,1,694.32,0
12446.0,58,1,4259.83,3
12447.0,244,1,2236.38,1
12448.0,45,1,2834.36,0
12449.0,23,4,18993.77,3
12450.0,157,2,1216.14,1
12451.0,11,6,74247.09,2
12452.0,17,1,1115.05,0
12453.0,135,1,5572.6,1
12454.0,57,1,13925.84,3
12455.0,74,5,23270.8,3
12456.0,45,3,19229.12,3
12457.0,67,7,9444.710000000001,3
12458.0,72,3,14297.16,3
12461.0,155,1,3532.59,1
12462.0,19,2,6362.7300000000005,0
12463.0,11,5,8933.32,2
12464.0,11,8,1657.98,0
12465.0,18,2,5567.22,0
12468.0,188,3,16010.86,3
12469.0,292,1,615.22,1
12471.0,3,27,91010.72,2
12472.0,33,7,47779.49,2
12473.0,54,3,26705.23,3
12474.0,18,20,55889.61,2
12475.0,54,1,6077.06,3
12476.0,16,11,26116.98,2
12477.0,23,6,50865.6,2
12478.0,4,1,1547.8700000000001,0
12479.0,12,2,2706.55,0
12480.0,29,4,20048.2,3
12481.0,23,11,38509.41,2
12483.0,18,8,12931.64,2
12484.0,36,4,25571.48,3
12485.0,356,1,30.7,1
12488.0,10,3,5085.36,0
12489.0,337,1,1361.97,1
12490.0,6,10,30866.64,2
12491.0,39,2,4623.28,0
12492.0,64,2,2042.1,1
12493.0,166,2,1759.17,1
12494.0,16,7,7273.18,2
12497.0,82,1,13594.44,3
12498.0,22,3,1658.67,0
12500.0,24,10,31366.809999999998,2
12501.0,337,1,20100.06,3
12502.0,96,5,11027.11,3
12504.0,19,2,1330.3400000000001,0
12505.0,254,1,1833.6399999999999,1
12506.0,233,1,311.08,1
12507.0,135,3,10264.7,3
12508.0,11,3,13121.98,0
12509.0,285,1,715.84,1
12510.0,143,2,4391.04,3
12512.0,67,2,1156.2,1
12513.0,113,1,4916.2,1
12514.0,268,1,5134.9800000000005,1
12515.0,155,2,1982.8799999999999,1
12516.0,78,3,15771.619999999999,3
12517.0,29,5,15772.09,3
12518.0,1,5,14202.72,2
12519.0,64,1,2138.82,1
12520.0,80,6,17015.59,3
12521.0,143,1,3386.07,1
12522.0,40,3,2198.59,0
12523.0,20,11,10556.31,2
12524.0,10,9,57952.31,2
12526.0,1,3,6572.17,0
12527.0,82,3,2598.56,3
12528.0,10,6,8395.34,2
12530.0,60,4,9013.53,3
12531.0,15,1,278.55,0
12532.0,31,2,3755.8,0
12534.0,131,1,7616.2,3
12535.0,92,2,2978.58,3
12536.0,60,2,32970.54,3
12537.0,10,1,30.950000000000003,0
12538.0,30,1,2330.82,0
12539.0,23,5,29397.31,2
12540.0,20,17,79521.3,2
12541.0,30,4,12556.41,3
12542.0,235,1,6368.8,1
12544.0,37,2,2859.79,0
12545.0,76,2,6152.54,3
12546.0,10,3,8893.83,0
12547.0,115,4,14445.15,3
12548.0,167,1,561.0,1
12550.0,47,2,14504.08,3
12551.0,262,2,1759.01,1
12552.0,40,1,1196.93,0
12553.0,9,12,33396.7,2
12556.0,36,3,4483.71,3
12557.0,10,6,46887.02,2
12558.0,8,1,1213.24,0
12559.0,311,2,3418.7,1
12560.0,6,2,11335.82,0
12561.0,36,2,14040.59,3
12562.0,9,7,15925.470000000001,2
12564.0,262,1,1625.93,1
12565.0,289,1,969.5,1
12566.0,87,1,2990.38,1
12567.0,23,10,49397.22,2
12569.0,3,32,19139.07,2
12571.0,40,2,5761.72,3
12572.0,9,2,4389.56,0
12573.0,228,1,1025.38,1
12574.0,316,1,791.58,1
12576.0,36,5,11259.52,3
12577.0,36,3,5479.7699999999995,3
12578.0,22,2,14273.59,3
12579.0,79,1,3286.32,1
12580.0,247,1,2566.92,1
12581.0,40,1,1824.03,0
12582.0,239,2,3393.8,1
12583.0,3,15,56248.77,2
12584.0,4,9,5498.41,2
12585.0,235,2,14855.86,3
12586.0,18,1,1011.4300000000001,0
12587.0,8,1,309.5,0
12588.0,40,1,712.19,1
12589.0,29,2,3684.56,0
12590.0,212,1,49891.4,3
12591.0,318,1,2661.17,1
12592.0,93,2,2587.3,1
12593.0,109,3,1885.56,1
12594.0,38,9,19508.32,2
12596.0,52,2,5258.67,3
12597.0,20,4,25599.78,2
12598.0,10,7,22050.66,2
12599.0,30,7,10627.58,2
12600.0,29,10,8730.210000000001,2
12601.0,190,5,2959.09,3
12602.0,59,1,1817.46,1
12603.0,22,1,1202.32,0
12604.0,80,2,2291.92,1
12607.0,61,1,14205.03,3
12609.0,79,3,7359.41,3
12610.0,5,6,18853.03,2
12611.0,53,1,9832.66,3
12612.0,75,1,3348.79,1
12613.0,58,4,19136.74,3
12614.0,278,1,1102.41,1
12615.0,3,4,14117.800000000001,2
12616.0,96,2,3527.2,3
12617.0,30,2,8554.68,3
12618.0,22,1,1114.39,0
12619.0,17,8,35213.99,2
12620.0,15,3,10989.5,0
12621.0,2,21,78791.83,2
12622.0,233,1,801.12,1
12623.0,277,1,2029.3,1
12624.0,107,4,5678.58,3
12625.0,212,2,18357.38,3
12626.0,24,9,38860.21,2
12627.0,11,7,27855.8,2
12628.0,5,3,4386.39,0
12630.0,10,2,5082.900000000001,0
12631.0,58,1,2870.14,1
12633.0,59,4,13137.49,3
12635.0,87,3,16535.15,3
12637.0,68,8,34186.79,2
12638.0,34,1,6397.62,0
12639.0,239,1,2225.42,1
12640.0,24,4,37688.39,2
12641.0,116,1,877.1,1
12642.0,26,3,6485.52,0
12643.0,129,6,21446.16,3
12644.0,130,1,3820.88,1
12645.0,34,4,12055.24,3
12646.0,5,4,15251.15,2
12647.0,23,12,17209.04,2
12648.0,155,1,1937.06,1
12649.0,30,5,7796.43,3
12650.0,4,1,1590.7,0
12651.0,335,1,867.3,1
12652.0,199,2,6254.79,3
12653.0,149,3,11735.49,3
12654.0,11,5,2934.11,0
12656.0,18,5,17396.7,2
12657.0,12,4,8016.62,0
12658.0,19,1,3709.7000000000003,0
12659.0,30,1,1141.6000000000001,0
12660.0,12,1,779.94,0
12662.0,1,11,22606.22,2
12663.0,214,2,2710.49,1
12664.0,9,9,14394.66,2
12665.0,325,1,415.08000000000004,1
12666.0,214,1,968.33,1
12667.0,59,1,4478.9,3
12668.0,12,4,17865.24,2
12669.0,151,2,12538.32,3
12670.0,11,6,22266.5,2
12671.0,80,2,8969.15,3
12672.0,330,1,931.2,1
12673.0,6,3,7908.16,0
12674.0,39,4,13431.52,3
12675.0,214,1,1326.97,1
12676.0,25,6,7924.15,2
12678.0,43,10,120696.22,2
12679.0,59,4,6561.37,3
12680.0,1,4,4628.29,0
12681.0,15,22,86451.58,2
12682.0,4,31,58286.29,2
12683.0,5,14,55540.22,2
12684.0,8,6,21663.16,2
12685.0,29,6,16981.07,2
12686.0,372,1,1159.4,1
12688.0,114,1,35660.99,3
12689.0,26,2,6936.96,0
12690.0,60,2,8008.59,3
12691.0,29,5,4927.3,3
12692.0,152,2,295.09000000000003,1
12693.0,128,4,3080.0,3
12694.0,71,2,5936.29,3
12695.0,8,5,18421.26,2
12697.0,29,3,5842.76,3
12700.0,8,4,30043.5,2
12701.0,80,2,7591.7,3
12702.0,20,2,6977.15,0
12703.0,72,1,1942.7,1
12704.0,8,8,10975.87,2
12705.0,16,8,44897.24,2
12707.0,292,1,3242.17,1
12708.0,30,10,15745.640000000001,2
12709.0,5,16,47631.61,2
12710.0,97,3,9460.46,3
12712.0,29,13,13565.77,2
12713.0,1,1,3270.25,0
12714.0,10,6,33836.55,2
12715.0,5,2,2000.45,0
12716.0,4,4,15550.619999999999,2
12717.0,114,3,6094.87,3
12718.0,72,2,7892.37,3
12719.0,6,2,3193.46,0
12720.0,3,26,48257.020000000004,2
12721.0,32,6,21697.39,2
12722.0,86,4,6794.82,3
12723.0,4,5,3772.94,0
12724.0,6,4,4346.39,0
12725.0,372,1,2041.74,1
12726.0,29,7,34574.16,2
12727.0,11,7,22770.58,2
12728.0,72,4,4979.25,3
12729.0,114,1,2794.86,1
12731.0,24,12,102510.58,2
12732.0,180,2,3048.2,1
12733.0,235,2,2199.23,1
12734.0,353,1,1015.2,1
12735.0,316,2,4367.49,1
12736.0,333,1,1869.6,1
12738.0,373,1,1647.17,1
12739.0,100,1,5971.02,3
12740.0,64,1,3943.22,1
12742.0,34,1,46.129999999999995,1
12743.0,135,2,3799.02,3
12744.0,57,4,63480.95,3
12747.0,3,11,15438.2,2
12748.0,1,207,271206.94,2
12749.0,4,5,17525.86,2
12750.0,129,1,1686.92,1
12752.0,82,1,26757.76,3
12753.0,23,6,136322.73,2
12754.0,236,3,69523.14,3
12755.0,281,2,19184.420000000002,3
12756.0,87,1,1590.72,1
12757.0,16,11,32617.48,2
12758.0,117,2,20139.94,3
12759.0,53,3,10370.7,3
12760.0,102,1,4648.16,1
12761.0,59,1,210.39,1
12762.0,8,3,9736.92,0
12763.0,139,3,4198.93,3
12764.0,317,1,5692.32,1
12766.0,4,7,40429.88,2
12769.0,239,1,4652.27,1
12770.0,211,1,8404.06,3
12772.0,60,1,6358.97,3
12775.0,18,5,10229.43,2
12777.0,19,2,12933.12,0
12778.0,20,6,9084.33,2
12779.0,10,12,34260.57,2
12781.0,64,2,7674.44,3
12782.0,5,5,12179.67,2
12783.0,3,4,6599.9800000000005,0
12784.0,16,1,2033.17,0
12785.0,365,1,1221.82,1
12787.0,10,3,2723.08,0
12788.0,15,1,24.76,1
12789.0,66,1,109.52000000000001,1
12790.0,193,1,1983.08,1
12791.0,374,1,1166.4,1
12792.0,257,1,2556.83,1
12793.0,335,2,2665.64,1
12794.0,54,2,6768.41,3
12795.0,19,1,982.32,0
12796.0,151,1,5650.02,1
12797.0,366,1,1430.8200000000002,1
12798.0,11,3,52015.439999999995,2
12802.0,187,1,3605.02,1
12803.0,179,1,6598.74,3
12808.0,37,3,2018.71,0
12809.0,159,2,3695.33,3
12810.0,179,1,11.98,1
12811.0,262,2,2432.81,1
12812.0,45,1,1916.0,0
12814.0,102,1,579.84,1
12815.0,148,2,4571.33,3
12816.0,96,2,1695.5,1
12817.0,102,2,6707.54,3
12818.0,262,1,10641.32,3
12820.0,4,5,12348.48,2
12821.0,215,1,812.56,1
12822.0,71,2,6060.9800000000005,3
12823.0,75,5,4160.7,3
12824.0,60,2,3327.29,3
12826.0,3,7,10393.34,2
12827.0,6,3,2154.89,0
12828.0,3,6,4974.54,2
12829.0,24,3,4609.83,0
12830.0,38,7,112345.34,2
12831.0,263,1,1603.85,1
12832.0,33,3,2429.9900000000002,0
12833.0,146,1,2026.6000000000001,1
12834.0,283,1,1447.5,1
12836.0,60,4,13164.77,3
12837.0,159,2,1576.44,1
12838.0,34,2,4379.48,0
12839.0,3,14,39680.04,2
12840.0,144,4,14072.85,3
12841.0,5,26,36652.08,2
12842.0,71,2,6753.1,3
12843.0,66,9,14832.05,2
12844.0,30,2,1615.17,0
12845.0,15,5,2461.6,0
12847.0,23,1,10210.45,0
12849.0,32,2,7260.62,3
12851.0,97,1,1243.42,1
12852.0,295,1,1846.66,1
12853.0,135,6,9778.98,3
12854.0,79,3,7783.64,3
12855.0,373,1,346.5,1
12856.0,8,6,12237.51,2
12857.0,211,2,4649.38,3
12858.0,367,1,179.29999999999998,1
12863.0,53,2,2481.81,0
12864.0,139,1,2364.84,1
12865.0,27,2,11087.98,3
12866.0,284,1,2184.52,1
12867.0,27,8,47856.77,2
12868.0,186,6,11158.25,3
12871.0,85,2,2439.66,1
12872.0,327,2,3884.21,1
12873.0,283,1,1694.88,1
12875.0,144,2,21037.98,3
12876.0,58,4,44396.47,3
12877.0,4,12,12768.1,2
12878.0,186,3,6314.09,3
12879.0,45,3,4379.12,3
12881.0,276,2,1834.54,1
12882.0,10,2,2397.94,0
12883.0,25,4,2729.83,0
12884.0,89,2,5612.92,3
12885.0,64,3,7857.97,3
12886.0,68,2,9180.33,3
12888.0,215,2,1141.76,1
12890.0,25,1,3031.9,0
12891.0,186,3,10078.0,3
12892.0,212,1,30.990000000000002,1
12893.0,31,1,1090.03,0
12895.0,43,3,10029.16,3
12896.0,159,1,77.61,1
12897.0,205,2,1349.6000000000001,1
12900.0,29,1,95.1,1
12901.0,9,28,244287.79,2
12902.0,265,1,818.54,1
12904.0,19,2,3617.7799999999997,0
12906.0,12,5,18246.420000000002,2
12907.0,178,1,46.480000000000004,1
12908.0,177,2,13068.0,3
12909.0,40,6,19529.03,3
12910.0,24,8,18642.1,2
12912.0,3,5,5512.84,2
12913.0,5,5,11059.79,2
12914.0,150,1,1668.46,1
12915.0,149,2,1325.96,1
12916.0,139,4,14180.11,3
12917.0,129,1,919.2,1
12919.0,9,6,6597.84,2
12920.0,18,2,2156.0099999999998,0
12921.0,10,37,94853.69,2
12922.0,162,1,4207.96,1
12923.0,65,1,877.03,1
12924.0,89,6,10395.74,3
12925.0,5,2,4826.72,0
12927.0,186,1,762.72,1
12928.0,36,6,20415.18,2
12929.0,52,2,535.39,1
12930.0,79,2,3008.77,3
12931.0,22,16,320853.1,2
12933.0,25,3,5731.26,0
12934.0,27,1,45.3,1
12935.0,3,7,19074.18,2
12936.0,18,5,7316.46,0
12937.0,16,5,12564.55,2
12938.0,26,1,1552.1,0
12939.0,65,8,53913.04,2
12940.0,55,2,5148.5,3
12942.0,132,3,2732.93,3
12944.0,36,2,3504.6,0
12945.0,289,1,1922.5700000000002,1
12947.0,144,6,12748.92,3
12948.0,17,7,11880.64,2
12949.0,31,8,28495.06,2
12950.0,3,3,9659.92,0
12951.0,9,7,5184.56,2
12952.0,6,4,7084.06,0
12953.0,10,1,519.96,0
12954.0,101,1,63.900000000000006,1
12955.0,2,11,36287.4,2
12956.0,307,1,459.2,1
12957.0,10,8,26663.12,2
12958.0,197,1,1263.0,1
12960.0,197,1,1140.87,1
12962.0,8,2,1224.13,0
12963.0,9,8,9224.720000000001,2
12965.0,90,1,3656.09,1
12966.0,10,1,543.0,0
12967.0,197,3,6207.75,3
12968.0,113,1,887.57,1
12970.0,8,4,2042.09,0
12971.0,4,86,100914.98,2
12974.0,78,3,1209.68,1
12976.0,212,1,4269.66,1
12977.0,157,1,163.23000000000002,1
12980.0,158,9,16637.780000000002,3
12981.0,30,2,2742.46,0
12982.0,243,2,3405.12,1
12984.0,19,1,366.34000000000003,0
12985.0,1,3,18503.76,2
12986.0,233,1,4920.32,1
12987.0,74,3,7234.86,3
12988.0,293,1,1942.45,1
12989.0,4,15,36804.07,2
12990.0,32,3,1358.8,0
12991.0,24,2,4666.84,0
12993.0,24,5,6238.36,3
12994.0,5,3,4740.06,0
12995.0,86,1,1323.72,1
12997.0,23,4,8062.9800000000005,3
12999.0,197,3,3972.94,3
13000.0,107,3,4433.05,3
13001.0,5,13,63683.15,2
13002.0,319,1,872.21,1
13003.0,106,3,1208.3899999999999,1
13004.0,12,18,52053.93,2
13005.0,174,2,2289.55,1
13006.0,57,1,647.3199999999999,1
13008.0,324,1,1909.6599999999999,1
13009.0,228,2,2086.68,1
13011.0,240,2,225.36,1
13012.0,10,10,18251.33,2
13013.0,2,13,27081.9,2
13014.0,11,10,11952.66,2
13015.0,54,5,19842.670000000002,3
13016.0,74,3,6210.6,3
13017.0,8,1,297.12,0
13018.0,17,28,60984.700000000004,2
13021.0,5,9,15085.05,2
13023.0,3,4,12316.55,2
13024.0,85,2,13358.61,3
13025.0,44,2,584.84,1
13026.0,2,5,15401.16,2
13027.0,114,6,184204.8,3
13028.0,23,2,8616.18,0
13029.0,31,3,2470.7,0
13030.0,12,2,3663.42,0
13032.0,53,2,4484.72,3
13033.0,358,1,740.11,1
13034.0,55,2,4440.89,3
13035.0,74,3,7583.59,3
13037.0,18,4,5146.86,0
13038.0,81,3,4621.18,3
13040.0,9,2,3244.45,0
13043.0,274,1,3132.7,1
13044.0,292,2,5141.86,3
13045.0,100,1,2268.34,1
13046.0,31,2,3327.83,0
13047.0,57,9,17560.47,2
13048.0,15,4,11121.630000000001,0
13049.0,65,2,3420.04,3
13050.0,15,17,42734.590000000004,2
13052.0,213,1,2632.14,1
13055.0,79,3,10228.51,3
13058.0,25,3,811.13,0
13059.0,250,1,546.64,1
13060.0,93,2,7713.34,3
13061.0,73,1,1232.0,1
13062.0,192,1,3847.0800000000004,1
13064.0,13,4,5540.89,0
13065.0,374,1,969.49,1
13066.0,25,2,3782.84,0
13067.0,83,1,421.51,1
13068.0,11,2,1321.0,0
13069.0,1,24,63353.94,2
13070.0,193,1,866.6,1
13072.0,267,1,888.78,1
13075.0,130,1,5232.42,1
13076.0,38,1,13319.57,3
13077.0,2,4,8520.32,2
13078.0,4,26,64169.67,2
13079.0,5,5,758.1,0
13080.0,180,1,1289.52,1
13081.0,12,11,212622.48,2
13082.0,127,9,47783.04,3
13083.0,5,2,1932.58,0
13085.0,158,2,2640.2,1
13089.0,3,98,354882.55,2
13090.0,9,13,31264.75,2
13091.0,29,3,6803.04,3
13092.0,71,5,3349.11,3
13093.0,276,8,43563.5,3
13094.0,22,12,19570.2,2
13095.0,71,1,1552.44,1
13097.0,33,10,30084.1,2
13098.0,2,28,160510.77,2
13099.0,100,1,3165.12,1
13101.0,235,1,1262.04,1
13102.0,2,24,47801.35,2
13103.0,40,1,1090.42,1
13104.0,4,6,5505.24,2
13106.0,134,1,262.98,1
13107.0,45,4,14583.86,3
13108.0,373,1,3413.5,1
13109.0,60,3,12083.68,3
13110.0,32,7,5483.84,3
13113.0,1,25,47733.65,2
13114.0,130,1,4227.98,1
13115.0,12,4,15665.8,2
13116.0,139,1,3496.2,1
13117.0,22,9,10889.55,2
13118.0,20,6,6517.3,2
13120.0,239,1,154.32,1
13121.0,148,2,2877.98,1
13122.0,95,2,6941.33,3
13124.0,9,4,26146.0,2
13126.0,5,8,21919.32,2
13127.0,78,1,1567.2,1
13130.0,95,1,393.56,1
13131.0,24,3,5084.24,0
13132.0,262,1,284.15999999999997,1
13133.0,274,2,440.5,1
13134.0,86,4,12201.82,3
13135.0,78,2,55274.44,3
13136.0,57,7,19605.84,3
13137.0,11,8,23606.0,2
13138.0,23,6,5834.17,3
13139.0,17,7,24825.46,2
13140.0,109,3,2334.4700000000003,3
13141.0,85,5,17413.35,3
13142.0,20,1,2959.09,0
13144.0,333,1,328.91999999999996,1
13145.0,40,4,2468.06,0
13146.0,27,1,1813.01,0
13147.0,11,4,1767.8400000000001,0
13148.0,30,14,42171.97,2
13149.0,15,5,16005.26,2
13151.0,296,1,5009.4800000000005,1
13153.0,6,2,8860.119999999999,0
13154.0,366,1,516.16,1
13155.0,34,5,11060.81,3
13157.0,50,5,14339.41,3
13158.0,95,4,8131.84,3
13159.0,9,4,10940.73,2
13160.0,23,1,668.24,0
13161.0,314,1,412.75,1
13162.0,123,5,31908.11,3
13165.0,47,2,15150.08,3
13166.0,284,1,2641.38,1
13167.0,19,4,8716.32,0
13168.0,37,4,8217.38,3
13169.0,64,2,3519.0,3
13170.0,27,1,1625.47,0
13171.0,22,4,2955.2,0
13173.0,5,3,4861.14,0
13174.0,17,4,18855.12,2
13176.0,47,1,5082.57,0
13177.0,43,2,1236.5900000000001,0
13178.0,27,11,32603.11,2
13181.0,22,1,7804.5599999999995,0
13182.0,46,1,2184.32,0
13183.0,8,9,25382.46,2
13184.0,15,10,18364.35,2
13185.0,268,1,196.2,1
13186.0,40,3,9956.86,3
13187.0,12,2,10146.27,0
13188.0,12,1,148.56,0
13189.0,19,2,8897.2,0
13190.0,120,1,57.65,1
13192.0,96,2,6245.46,3
13193.0,62,1,633.29,1
13194.0,136,2,376.1,1
13196.0,12,4,13432.45,2
13198.0,11,6,27903.21,2
13199.0,4,37,69775.95999999999,2
13200.0,20,4,6131.54,0
13201.0,296,1,1326.91,1
13203.0,10,4,8127.89,0
13204.0,256,1,357.98,1
13207.0,16,2,1299.34,0
13208.0,60,5,9100.699999999999,3
13209.0,31,8,47038.43,2
13210.0,94,1,3601.6800000000003,1
13211.0,11,3,8825.93,0
13212.0,20,3,3961.34,0
13213.0,57,5,15496.58,3
13216.0,268,2,8512.44,3
13217.0,123,5,13335.210000000001,3
13218.0,128,1,966.36,1
13219.0,330,1,14619.619999999999,3
13220.0,79,4,2767.96,3
13221.0,241,2,3356.42,1
13222.0,57,1,45.35,1
13223.0,201,2,1069.16,1
13224.0,61,2,16650.02,3
13225.0,4,8,31305.92,2
13226.0,274,1,930.9,1
13227.0,202,1,972.84,1
13228.0,82,1,1208.0,1
13229.0,226,1,810.6600000000001,1
13230.0,5,14,18287.829999999998,2
13232.0,13,8,17760.13,2
13233.0,75,3,16436.06,3
13235.0,213,1,5204.71,1
13236.0,25,2,5026.91,0
13237.0,184,1,7817.68,3
13238.0,18,5,4514.2300000000005,0
13239.0,262,1,4058.5,1
13240.0,97,4,3708.96,3
13242.0,113,3,804.7,1
13243.0,204,1,2940.9900000000002,1
13244.0,93,1,514.23,1
13245.0,51,1,1722.41,1
13246.0,19,6,17968.07,2
13247.0,18,4,3792.29,0
13248.0,125,2,3541.56,3
13249.0,93,3,6327.38,3
13252.0,318,1,1402.33,1
13253.0,157,2,17170.12,3
13255.0,10,2,1773.47,0
13256.0,15,1,77622.6,3
13258.0,12,4,9077.62,0
13259.0,62,1,1652.5,1
13260.0,62,1,2026.96,1
13261.0,269,2,3120.14,1
13262.0,264,1,1486.55,1
13263.0,2,34,52119.89,2
13264.0,129,1,5078.23,1
13265.0,54,5,20119.57,3
13266.0,12,12,46730.21,2
13267.0,3,19,22997.09,2
13268.0,18,10,37536.5,2
13269.0,2,15,37039.17,2
13270.0,367,1,2654.0,1
13271.0,38,1,2816.04,0
13272.0,32,2,1267.48,0
13273.0,114,1,1710.81,1
13275.0,192,1,6429.13,1
13276.0,64,2,2255.86,3
13277.0,16,4,1381.84,0
13278.0,41,1,5549.74,0
13279.0,79,1,889.36,1
13280.0,123,3,5403.01,3
13282.0,19,3,4125.26,0
13283.0,60,2,894.52,1
13284.0,331,1,980.8,1
13285.0,24,4,21062.03,3
13291.0,156,1,2579.19,1
13292.0,39,3,4769.99,3
13294.0,145,3,5591.56,3
13295.0,360,1,1046.54,1
13296.0,138,1,889.08,1
13297.0,8,5,10774.78,2
13298.0,2,1,594.24,0
13299.0,269,1,453.48,1
13300.0,170,1,2218.64,1
13301.0,104,4,4130.51,3
13302.0,156,1,116.6,1
13304.0,156,2,2735.76,1
13305.0,5,10,13825.79,2
13307.0,121,1,56.36,1
13308.0,23,3,10061.61,3
13309.0,8,5,14579.47,2
13310.0,29,3,7176.29,3
13311.0,5,3,3519.0299999999997,0
13313.0,23,5,8535.44,3
13314.0,2,3,5576.62,0
13316.0,38,4,77324.19,3
13317.0,67,6,12504.64,3
13318.0,2,3,2903.18,0
13319.0,6,26,55079.03,2
13320.0,79,4,11507.25,3
13321.0,73,2,4395.12,3
13322.0,18,2,2023.58,0
13323.0,4,5,1764.15,0
13324.0,37,10,60652.69,2
13325.0,82,2,3105.25,3
13327.0,39,8,16047.16,2
13328.0,317,1,8071.76,1
13329.0,32,2,5553.78,0
13330.0,93,3,7116.13,3
