customerno,recency,frequency,monetary
12537.0,10,1,30.950000000000003
12538.0,30,1,2330.8199999999997
12539.0,23,5,29397.31
12540.0,20,17,79521.3
12541.0,30,4,12556.41
12542.0,235,1,6368.8
12544.0,37,2,2859.79
12545.0,76,2,6152.54
12546.0,10,3,8893.83
12547.0,115,4,14445.15
12548.0,167,1,561.0
12550.0,47,2,14504.08
12551.0,262,2,1759.01
12552.0,40,1,1196.93
12553.0,9,12,33396.7
12556.0,36,3,4483.71
12557.0,10,6,46887.02
12558.0,8,1,1213.24
12559.0,311,2,3418.7
12560.0,6,2,11335.82
12561.0,36,2,14040.59
12562.0,9,7,15925.47
12564.0,262,1,1625.93
12565.0,289,1,969.5
12566.0,87,1,2990.38
12567.0,23,10,49397.22
12569.0,3,32,19139.07
12571.0,40,2,5761.719999999999
12572.0,9,2,4389.56
12573.0,228,1,1025.38
12574.0,316,1,791.58
12576.0,36,5,11259.52
12577.0,36,3,5479.7699999999995
12578.0,22,2,14273.59
12579.0,79,1,3286.3199999999997
12580.0,247,1,2566.92
12581.0,40,1,1824.03
12582.0,239,2,3393.8
12583.0,3,15,56248.77
12584.0,4,9,5498.41
12585.0,235,2,14855.86
12586.0,18,1,1011.4300000000001
12587.0,8,1,309.5
12588.0,40,1,712.1899999999999
12589.0,29,2,3684.56
12590.0,212,1,49891.4
12591.0,318,1,2661.17
12592.0,93,2,2587.2999999999997
12593.0,109,3,1885.56
12594.0,38,9,19508.32
12596.0,52,2,5258.67
12597.0,20,4,25599.78
12598.0,10,7,22050.66
12599.0,30,7,10627.58
12600.0,29,10,8730.210000000001
12601.0,190,5,2959.09
12602.0,59,1,1817.46
12603.0,22,1,1202.32
12604.0,80,2,2291.92
12607.0,61,1,14205.029999999999
12609.0,79,3,7359.41
12610.0,5,6,18853.03
12611.0,53,1,9832.66
12612.0,75,1,3348.79
12613.0,58,4,19136.74
12614.0,278,1,1102.4099999999999
12615.0,3,4,14117.8
12616.0,96,2,3527.2
12617.0,30,2,8554.68
12618.0,22,1,1114.39
12619.0,17,8,35213.99
12620.0,15,3,10989.5
12621.0,2,21,78791.83
12622.0,233,1,801.12
12623.0,277,1,2029.3
12624.0,107,4,5678.58
12625.0,212,2,18357.38
12626.0,24,9,38860.21
12627.0,11,7,27855.8
12628.0,5,3,4386.39
12630.0,10,2,5082.9
12631.0,58,1,2870.14
12633.0,59,4,13137.49
12635.0,87,3,16535.149999999998
12637.0,68,8,34186.79
12638.0,34,1,6397.62
12639.0,239,1,2225.42
12640.0,24,4,37688.39
12641.0,116,1,877.1
12642.0,26,3,6485.5199999999995
12643.0,129,6,21446.16
12644.0,130,1,3820.88
12645.0,34,4,12055.24
12646.0,5,4,15251.15
12647.0,23,12,17209.04
12648.0,155,1,1937.06
12649.0,30,5,7796.43
12650.0,4,1,1590.7
12651.0,335,1,867.3
12652.0,199,2,6254.79
12653.0,149,3,11735.49
12654.0,11,5,2934.11
12656.0,18,5,17396.7
12657.0,12,4,8016.62
12658.0,19,1,3709.7
12659.0,30,1,1141.6000000000001
12660.0,12,1,779.94
12662.0,1,11,22606.22
12663.0,214,2,2710.49
12664.0,9,9,14394.66
12665.0,325,1,415.0799999999999
12666.0,214,1,968.33
12667.0,59,1,4478.9
12668.0,12,4,17865.24
12669.0,151,2,12538.32
12670.0,11,6,22266.5
12671.0,80,2,8969.15
12672.0,330,1,931.1999999999999
12673.0,6,3,7908.16
12674.0,39,4,13431.52
12675.0,214,1,1326.97
12676.0,25,6,7924.15
12678.0,43,10,120696.22
12679.0,59,4,6561.37
12680.0,1,4,4628.29
12681.0,15,22,86451.58
12682.0,4,31,58286.29
12683.0,5,14,55540.22
12684.0,8,6,21663.16
12685.0,29,6,16981.07
12686.0,372,1,1159.4
12688.0,114,1,35660.99
12689.0,26,2,6936.96
12690.0,60,2,8008.59
12691.0,29,5,4927.3
12692.0,152,2,295.09000000000003
12693.0,128,4,3080.0
12694.0,71,2,5936.29
12695.0,8,5,18421.26
12697.0,29,3,5842.76
12700.0,8,4,30043.5
12701.0,80,2,7591.7
12702.0,20,2,6977.15
12703.0,72,1,1942.7
12704.0,8,8,10975.87
12705.0,16,8,44897.24
12707.0,292,1,3242.17
12708.0,30,10,15745.64
12709.0,5,16,47631.61
12710.0,97,3,9460.46
12712.0,29,13,13565.77
12713.0,1,1,3270.25
12714.0,10,6,33836.55
12715.0,5,2,2000.45
12716.0,4,4,15550.619999999999
12717.0,114,3,6094.87
12718.0,72,2,7892.37
12719.0,6,2,3193.46
12720.0,3,26,48257.020000000004
12721.0,32,6,21697.39
12722.0,86,4,6794.82
12723.0,4,5,3772.94
12724.0,6,4,4346.389999999999
12725.0,372,1,2041.74
12726.0,29,7,34574.159999999996
12727.0,11,7,22770.58
12728.0,72,4,4979.25
12729.0,114,1,2794.86
12731.0,24,12,102510.58
12732.0,180,2,3048.2
12733.0,235,2,2199.23
12734.0,353,1,1015.2
12735.0,316,2,4367.49
12736.0,333,1,1869.6
12738.0,373,1,1647.17
12739.0,100,1,5971.02
12740.0,64,1,3943.22
12742.0,34,1,46.129999999999995
12743.0,135,2,3799.02
12744.0,57,4,63480.95
12747.0,3,11,15438.2
12748.0,1,207,271206.94
12749.0,4,5,17525.86
12750.0,129,1,1686.92
12752.0,82,1,26757.76
12753.0,23,6,136322.73
12754.0,236,3,69523.14
12755.0,281,2,19184.420000000002
12756.0,87,1,1590.72
12757.0,16,11,32617.48
12758.0,117,2,20139.94
12759.0,53,3,10370.7
12760.0,102,1,4648.16
12761.0,59,1,210.39
12762.0,8,3,9736.92
12763.0,139,3,4198.93
12764.0,317,1,5692.32
12766.0,4,7,40429.88
12769.0,239,1,4652.2699999999995
12770.0,211,1,8404.06
12772.0,60,1,6358.97
12775.0,18,5,10229.43
12777.0,19,2,12933.12
12778.0,20,6,9084.33
12779.0,10,12,34260.57
12781.0,64,2,7674.44
12782.0,5,5,12179.67
12783.0,3,4,6599.9800000000005
12784.0,16,1,2033.17
12785.0,365,1,1221.82
12787.0,10,3,2723.08
12788.0,15,1,24.76
12789.0,66,1,109.52000000000001
12790.0,193,1,1983.08
12791.0,374,1,1166.4
12792.0,257,1,2556.83
12793.0,335,2,2665.64
12794.0,54,2,6768.41
12795.0,19,1,982.32
12796.0,151,1,5650.0199999999995
12797.0,366,1,1430.82
12798.0,11,3,52015.439999999995
12802.0,187,1,3605.02
12803.0,179,1,6598.74
12808.0,37,3,2018.71
12809.0,159,2,3695.33
12810.0,179,1,11.98
12811.0,262,2,2432.81
12812.0,45,1,1916.0
12814.0,102,1,579.84
12815.0,148,2,4571.33
12816.0,96,2,1695.5
12817.0,102,2,6707.54
12818.0,262,1,10641.32
12820.0,4,5,12348.48
12821.0,215,1,812.56
12822.0,71,2,6060.9800000000005
12823.0,75,5,4160.7
12824.0,60,2,3327.29
12826.0,3,7,10393.34
12827.0,6,3,2154.89
12828.0,3,6,4974.54
12829.0,24,3,4609.83
12830.0,38,7,112345.34
12831.0,263,1,1603.85
12832.0,33,3,2429.99
12833.0,146,1,2026.6
12834.0,283,1,1447.5
12836.0,60,4,13164.77
12837.0,159,2,1576.44
12838.0,34,2,4379.48
12839.0,3,14,39680.04
12840.0,144,4,14072.849999999999
12841.0,5,26,36652.08
12842.0,71,2,6753.099999999999
12843.0,66,9,14832.05
12844.0,30,2,1615.17
12845.0,15,5,2461.6
12847.0,23,1,10210.45
12849.0,32,2,7260.62
12851.0,97,1,1243.42
12852.0,295,1,1846.66
12853.0,135,6,9778.98
12854.0,79,3,7783.64
12855.0,373,1,346.5
12856.0,8,6,12237.51
12857.0,211,2,4649.38
12858.0,367,1,179.29999999999998
12863.0,53,2,2481.81
12864.0,139,1,2364.84
12865.0,27,2,11087.98
12866.0,284,1,2184.52
12867.0,27,8,47856.77
12868.0,186,6,11158.25
12871.0,85,2,2439.66
12872.0,327,2,3884.21
12873.0,283,1,1694.88
12875.0,144,2,21037.98
12876.0,58,4,44396.47
12877.0,4,12,12768.1
12878.0,186,3,6314.089999999999
12879.0,45,3,4379.12
12881.0,276,2,1834.54
12882.0,10,2,2397.94
12883.0,25,4,2729.83
12884.0,89,2,5612.92
12885.0,64,3,7857.97
12886.0,68,2,9180.33
12888.0,215,2,1141.76
12890.0,25,1,3031.9
12891.0,186,3,10078.0
12892.0,212,1,30.990000000000002
12893.0,31,1,1090.03
12895.0,43,3,10029.16
12896.0,159,1,77.61
12897.0,205,2,1349.6000000000001
12900.0,29,1,95.1
12901.0,9,28,244287.79
12902.0,265,1,818.54
12904.0,19,2,3617.7799999999997
12906.0,12,5,18246.42
12907.0,178,1,46.480000000000004
12908.0,177,2,13068.0
12909.0,40,6,19529.03
12910.0,24,8,18642.1
12912.0,3,5,5512.84
12913.0,5,5,11059.79
12914.0,150,1,1668.46
12915.0,149,2,1325.96
12916.0,139,4,14180.11
12917.0,129,1,919.2
12919.0,9,6,6597.84
12920.0,18,2,2156.0099999999998
12921.0,10,37,94853.69
12922.0,162,1,4207.96
12923.0,65,1,877.03
12924.0,89,6,10395.74
12925.0,5,2,4826.72
12927.0,186,1,762.72
12928.0,36,6,20415.18
12929.0,52,2,535.39
12930.0,79,2,3008.77
12931.0,22,16,320853.1
12933.0,25,3,5731.26
12934.0,27,1,45.3
12935.0,3,7,19074.18
12936.0,18,5,7316.46
12937.0,16,5,12564.55
12938.0,26,1,1552.1000000000001
12939.0,65,8,53913.04
12940.0,55,2,5148.5
12942.0,132,3,2732.93
12944.0,36,2,3504.6
12945.0,289,1,1922.57
12947.0,144,6,12748.92
12948.0,17,7,11880.64
12949.0,31,8,28495.059999999998
12950.0,3,3,9659.92
12951.0,9,7,5184.56
12952.0,6,4,7084.06
12953.0,10,1,519.96
12954.0,101,1,63.900000000000006
12955.0,2,11,36287.4
12956.0,307,1,459.2
12957.0,10,8,26663.12
12958.0,197,1,1263.0
12960.0,197,1,1140.87
12962.0,8,2,1224.13
12963.0,9,8,9224.72
12965.0,90,1,3656.09
12966.0,10,1,543.0
12967.0,197,3,6207.75
12968.0,113,1,887.5699999999999
12970.0,8,4,2042.09
12971.0,4,86,100914.98
12974.0,78,3,1209.68
12976.0,212,1,4269.66
12977.0,157,1,163.23000000000002
12980.0,158,9,16637.780000000002
12981.0,30,2,2742.46
12982.0,243,2,3405.12
12984.0,19,1,366.34000000000003
12985.0,1,3,18503.76
12986.0,233,1,4920.32
12987.0,74,3,7234.86
12988.0,293,1,1942.45
12989.0,4,15,36804.07
12990.0,32,3,1358.8000000000002
12991.0,24,2,4666.84
12993.0,24,5,6238.36
12994.0,5,3,4740.06
12995.0,86,1,1323.72
12997.0,23,4,8062.98
12999.0,197,3,3972.94
13000.0,107,3,4433.05
13001.0,5,13,63683.15
13002.0,319,1,872.2099999999999
13003.0,106,3,1208.3899999999999
13004.0,12,18,52053.93
13005.0,174,2,2289.5499999999997
13006.0,57,1,647.32
13008.0,324,1,1909.66
13009.0,228,2,2086.68
13011.0,240,2,225.36
13012.0,10,10,18251.329999999998
13013.0,2,13,27081.9
13014.0,11,10,11952.66
13015.0,54,5,19842.67
13016.0,74,3,6210.6
13017.0,8,1,297.12
13018.0,17,28,60984.7
13021.0,5,9,15085.05
13023.0,3,4,12316.55
13024.0,85,2,13358.61
13025.0,44,2,584.84
13026.0,2,5,15401.16
13027.0,114,6,184204.8
13028.0,23,2,8616.18
13029.0,31,3,2470.7
13030.0,12,2,3663.42
13032.0,53,2,4484.72
13033.0,358,1,740.11
13034.0,55,2,4440.889999999999
13035.0,74,3,7583.59
13037.0,18,4,5146.86
13038.0,81,3,4621.18
13040.0,9,2,3244.45
13043.0,274,1,3132.7
13044.0,292,2,5141.86
13045.0,100,1,2268.34
13046.0,31,2,3327.83
13047.0,57,9,17560.47
13048.0,15,4,11121.63
13049.0,65,2,3420.04
13050.0,15,17,42734.59
13052.0,213,1,2632.14
13055.0,79,3,10228.51
13058.0,25,3,811.13
13059.0,250,1,546.64
13060.0,93,2,7713.34
13061.0,73,1,1232.0
13062.0,192,1,3847.0800000000004
13064.0,13,4,5540.89
13065.0,374,1,969.49
13066.0,25,2,3782.84
13067.0,83,1,421.51
13068.0,11,2,1321.0
13069.0,1,24,63353.94
13070.0,193,1,866.6000000000001
13072.0,267,1,888.78
13075.0,130,1,5232.42
13076.0,38,1,13319.57
13077.0,2,4,8520.32
13078.0,4,26,64169.67
13079.0,5,5,758.1
13080.0,180,1,1289.52
13081.0,12,11,212622.48
13082.0,127,9,47783.04
13083.0,5,2,1932.58
13085.0,158,2,2640.2
13089.0,3,98,354882.55
13090.0,9,13,31264.75
13091.0,29,3,6803.04
13092.0,71,5,3349.11
13093.0,276,8,43563.5
13094.0,22,12,19570.2
13095.0,71,1,1552.44
13097.0,33,10,30084.1
13098.0,2,28,160510.77
13099.0,100,1,3165.12
13101.0,235,1,1262.04
13102.0,2,24,47801.35
13103.0,40,1,1090.42
13104.0,4,6,5505.24
13106.0,134,1,262.98
13107.0,45,4,14583.859999999999
13108.0,373,1,3413.5
13109.0,60,3,12083.68
13110.0,32,7,5483.84
13113.0,1,25,47733.65
13114.0,130,1,4227.98
13115.0,12,4,15665.8
13116.0,139,1,3496.2
13117.0,22,9,10889.55
13118.0,20,6,6517.3
13120.0,239,1,154.32
13121.0,148,2,2877.98
13122.0,95,2,6941.33
13124.0,9,4,26146.0
13126.0,5,8,21919.32
13127.0,78,1,1567.2
13130.0,95,1,393.56
13131.0,24,3,5084.24
13132.0,262,1,284.15999999999997
13133.0,274,2,440.5
13134.0,86,4,12201.82
13135.0,78,2,55274.44
13136.0,57,7,19605.84
13137.0,11,8,23606.0
13138.0,23,6,5834.17
13139.0,17,7,24825.46
13140.0,109,3,2334.47
13141.0,85,5,17413.35
13142.0,20,1,2959.09
13144.0,333,1,328.91999999999996
13145.0,40,4,2468.06
13146.0,27,1,1813.01
13147.0,11,4,1767.8400000000001
13148.0,30,14,42171.97
13149.0,15,5,16005.26
13151.0,296,1,5009.48
13153.0,6,2,8860.119999999999
13154.0,366,1,516.16
13155.0,34,5,11060.81
13157.0,50,5,14339.41
13158.0,95,4,8131.84
13159.0,9,4,10940.73
13160.0,23,1,668.2399999999999
13161.0,314,1,412.75
13162.0,123,5,31908.11
13165.0,47,2,15150.08
13166.0,284,1,2641.38
13167.0,19,4,8716.32
13168.0,37,4,8217.38
13169.0,64,2,3519.0
13170.0,27,1,1625.47
13171.0,22,4,2955.2
13173.0,5,3,4861.14
13174.0,17,4,18855.12
13176.0,47,1,5082.57
13177.0,43,2,1236.5900000000001
13178.0,27,11,32603.11
13181.0,22,1,7804.5599999999995
13182.0,46,1,2184.3199999999997
13183.0,8,9,25382.46
13184.0,15,10,18364.35
13185.0,268,1,196.20000000000002
13186.0,40,3,9956.86
13187.0,12,2,10146.27
13188.0,12,1,148.56
13189.0,19,2,8897.2
13190.0,120,1,57.65
13192.0,96,2,6245.46
13193.0,62,1,633.29
13194.0,136,2,376.1
13196.0,12,4,13432.449999999999
13198.0,11,6,27903.21
13199.0,4,37,69775.96
13200.0,20,4,6131.54
13201.0,296,1,1326.91
13203.0,10,4,8127.89
13204.0,256,1,357.98
13207.0,16,2,1299.34
13208.0,60,5,9100.699999999999
13209.0,31,8,47038.43
13210.0,94,1,3601.68
13211.0,11,3,8825.93
13212.0,20,3,3961.34
13213.0,57,5,15496.58
13216.0,268,2,8512.44
13217.0,123,5,13335.210000000001
13218.0,128,1,966.36
13219.0,330,1,14619.619999999999
13220.0,79,4,2767.96
13221.0,241,2,3356.42
13222.0,57,1,45.35
13223.0,201,2,1069.16
13224.0,61,2,16650.02
13225.0,4,8,31305.920000000002
13226.0,274,1,930.9
13227.0,202,1,972.84
13228.0,82,1,1208.0
13229.0,226,1,810.66
13230.0,5,14,18287.829999999998
13232.0,13,8,17760.13
13233.0,75,3,16436.06
13235.0,213,1,5204.71
13236.0,25,2,5026.91
13237.0,184,1,7817.68
13238.0,18,5,4514.23
13239.0,262,1,4058.5
13240.0,97,4,3708.96
13242.0,113,3,804.7
13243.0,204,1,2940.99
13244.0,93,1,514.23
13245.0,51,1,1722.4099999999999
13246.0,19,6,17968.07
13247.0,18,4,3792.29
13248.0,125,2,3541.56
13249.0,93,3,6327.38
13252.0,318,1,1402.33
13253.0,157,2,17170.12
13255.0,10,2,1773.47
13256.0,15,1,77622.6
13258.0,12,4,9077.62
13259.0,62,1,1652.5
13260.0,62,1,2026.96
13261.0,269,2,3120.14
13262.0,264,1,1486.55
13263.0,2,34,52119.89
13264.0,129,1,5078.23
13265.0,54,5,20119.57
13266.0,12,12,46730.21
13267.0,3,19,22997.09
13268.0,18,10,37536.5
13269.0,2,15,37039.17
13270.0,367,1,2654.0
13271.0,38,1,2816.04
13272.0,32,2,1267.48
13273.0,114,1,1710.81
13275.0,192,1,6429.13
13276.0,64,2,2255.86
13277.0,16,4,1381.84
13278.0,41,1,5549.74
13279.0,79,1,889.36
13280.0,123,3,5403.01
13282.0,19,3,4125.26
13283.0,60,2,894.52
13284.0,331,1,980.8
13285.0,24,4,21062.03
13291.0,156,1,2579.19
13292.0,39,3,4769.99
13294.0,145,3,5591.56
13295.0,360,1,1046.54
13296.0,138,1,889.08
13297.0,8,5,10774.779999999999
13298.0,2,1,594.24
13299.0,269,1,453.48
13300.0,170,1,2218.64
13301.0,104,4,4130.51
13302.0,156,1,116.6
13304.0,156,2,2735.76
13305.0,5,10,13825.789999999999
13307.0,121,1,56.36
13308.0,23,3,10061.61
13309.0,8,5,14579.47
13310.0,29,3,7176.29
13311.0,5,3,3519.0299999999997
13313.0,23,5,8535.44
13314.0,2,3,5576.62
13316.0,38,4,77324.19
13317.0,67,6,12504.64
13318.0,2,3,2903.18
13319.0,6,26,55079.03
13320.0,79,4,11507.25
13321.0,73,2,4395.12
13322.0,18,2,2023.58
13323.0,4,5,1764.15
13324.0,37,10,60652.689999999995
13325.0,82,2,3105.25
13327.0,39,8,16047.16
13328.0,317,1,8071.76
13329.0,32,2,5553.78
13330.0,93,3,7116.13
13332.0,15,1,1274.24
13334.0,83,3,20704.03
13336.0,78,1,6305.32
13337.0,358,1,3977.2
13338.0,156,2,13274.69
13339.0,201,1,4222.7699999999995
13340.0,46,7,66186.45
13341.0,261,1,3760.96
13343.0,178,1,1500.91
13344.0,68,4,17424.43
13345.0,288,2,5394.37
13347.0,71,1,2389.56
13348.0,65,1,1633.34
13349.0,11,1,1381.16
13350.0,17,2,2992.7400000000002
13351.0,67,1,1459.01
13352.0,61,2,13346.67
13354.0,72,1,6952.64
13355.0,123,1,3122.68
13356.0,81,1,3812.37
13357.0,258,1,3925.58
13358.0,269,1,3260.59
13359.0,64,1,2039.09
13362.0,10,4,15072.1
13363.0,18,2,8171.7
13364.0,72,1,848.16
13365.0,34,3,14864.41
13366.0,51,1,1533.6000000000001
13367.0,8,1,11971.08
13368.0,257,3,5573.13
13369.0,366,1,1781.6
13370.0,372,1,4289.27
13371.0,165,1,11074.7
13372.0,90,1,1956.3
13373.0,61,3,20133.09
13375.0,89,1,5147.32
13376.0,100,3,5312.2699999999995
13378.0,99,1,7752.33
13379.0,27,3,6514.099999999999
13381.0,32,6,24527.7
13382.0,281,1,1571.11
13384.0,31,7,26053.42
13385.0,330,1,3427.87
13388.0,132,3,9160.07
13389.0,12,3,4538.74
13390.0,75,1,2853.4
13391.0,204,1,102.28
13394.0,2,8,26096.45
13395.0,186,1,3759.12
13396.0,30,3,12485.63
13397.0,73,6,11795.12
13398.0,193,1,3349.07
13399.0,305,1,3677.87
13402.0,128,2,5545.88
13403.0,18,1,269.72
13404.0,2,2,1324.76
13405.0,205,2,2241.89
13408.0,2,62,175237.05
13410.0,25,5,6337.44
13411.0,108,2,1007.69
13414.0,134,3,17512.93
13416.0,44,2,2185.9
13417.0,5,2,1553.02
13418.0,12,19,44917.55
13419.0,64,1,2921.36
13420.0,150,2,1199.12
13421.0,41,2,13177.92
13422.0,65,1,15547.24
13423.0,327,1,15478.34
13425.0,109,4,12496.18
13426.0,1,10,25893.59
13427.0,20,4,6234.22
13428.0,11,1,979.98
13429.0,11,4,13791.640000000001
13430.0,19,2,8393.26
13431.0,68,3,7744.66
13433.0,183,1,3696.4399999999996
13434.0,75,2,3623.04
13435.0,6,7,24028.86
13436.0,2,1,516.64
13437.0,15,8,33736.3
13439.0,116,2,12406.88
13441.0,92,2,2405.4
13442.0,369,1,25.7
13447.0,24,3,7142.8
13448.0,17,6,17687.24
13449.0,24,1,2512.68
13450.0,27,6,22410.28
13451.0,27,6,36597.159999999996
13452.0,260,2,1321.24
13453.0,166,2,1739.22
13455.0,25,2,4466.2699999999995
13456.0,18,6,8572.27
13458.0,8,14,62678.34
13459.0,183,1,4795.89
13460.0,30,3,3252.92
13461.0,39,3,11554.54
13462.0,253,1,790.7
13464.0,59,2,10783.94
13466.0,185,1,2970.18
13467.0,11,4,11291.67
13468.0,2,38,36521.54
13470.0,100,3,7846.5199999999995
13471.0,2,5,22625.94
13472.0,61,1,65.7
13473.0,61,2,3159.7999999999997
13474.0,237,1,1588.18
13475.0,192,4,11800.949999999999
13476.0,179,2,6521.47
13477.0,38,6,11831.24
13479.0,201,2,1681.9
13481.0,46,5,11898.92
13482.0,173,2,2005.85
13483.0,66,1,1783.78
13484.0,242,1,772.7
13485.0,234,1,3183.69
